City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Houma,29.6,-90.72,80.01,83,40,20.8,US,1587338858
Kpandu,7.0,0.29,78.49,77,99,5.55,GH,1587338858
Bluff,-46.6,168.33,54.0,72,78,5.99,NZ,1587338859
Punta Arenas,-53.15,-70.92,42.8,78,20,23.04,CL,1587338827
Buraidah,26.33,43.98,71.6,56,40,10.29,SA,1587338859
Vaini,-21.2,-175.2,84.2,74,40,8.05,TO,1587338572
Mar del Plata,-38.0,-57.56,66.99,82,29,6.93,AR,1587338806
Virginia Beach,36.85,-75.98,63.0,77,90,3.36,US,1587338851
Hithadhoo,-0.6,73.08,84.76,75,90,10.29,MV,1587338860
Kapaa,22.08,-159.32,80.6,61,1,10.29,US,1587338774
Bredasdorp,-34.53,20.04,55.99,93,6,2.24,ZA,1587338574
Qaanaaq,77.48,-69.36,15.82,84,75,16.4,GL,1587338578
Ballina,-28.87,153.57,71.6,56,0,8.05,AU,1587338823
Chokurdakh,70.63,147.92,7.12,94,86,11.52,RU,1587338828
Yellowknife,62.46,-114.35,26.6,53,40,20.8,CA,1587338773
Gafanha da Encarnação,40.62,-8.73,57.99,82,58,3.51,PT,1587338862
Fortuna,40.6,-124.16,55.99,81,75,13.87,US,1587338862
São Filipe,14.9,-24.5,71.82,74,0,19.71,CV,1587338838
Nikolskoye,59.7,30.79,37.4,94,67,4.47,RU,1587338784
Ilulissat,69.22,-51.1,30.2,54,100,24.16,GL,1587338579
Hobart,-42.88,147.33,53.6,81,90,6.93,AU,1587338825
Albany,42.6,-73.97,61.0,52,90,1.99,US,1587338813
Faanui,-16.48,-151.75,82.83,75,60,15.23,PF,1587338864
George Town,5.41,100.34,78.8,94,20,3.91,MY,1587338837
Cape Town,-33.93,18.42,64.0,77,75,18.34,ZA,1587338810
Busselton,-33.65,115.33,59.0,61,78,20.2,AU,1587338864
Kahului,20.89,-156.47,82.4,51,40,9.17,US,1587338761
Tasiilaq,65.61,-37.64,32.0,92,100,4.7,GL,1587338865
Jamestown,42.1,-79.24,46.0,81,90,12.75,US,1587338584
Bathsheba,13.22,-59.52,80.6,69,20,19.46,BB,1587338850
Arraial do Cabo,-22.97,-42.03,73.67,70,96,4.79,BR,1587338866
Culebra,18.3,-65.3,80.6,69,40,8.05,PR,1587338866
Ushuaia,-54.8,-68.3,41.0,86,90,27.51,AR,1587338866
Vila Velha,-20.33,-40.29,75.2,73,40,10.29,BR,1587338867
Vélingara,13.15,-14.12,87.69,18,84,1.9,SN,1587338867
Atuona,-9.8,-139.03,82.89,73,38,12.97,PF,1587338867
Tiksi,71.69,128.87,14.04,91,94,6.31,RU,1587338793
Khatanga,71.97,102.5,24.04,95,34,5.41,RU,1587338776
Mahébourg,-20.41,57.7,75.2,88,40,11.41,MU,1587338868
Mossamedes,-15.2,12.15,75.31,65,19,2.8,AO,1587338868
Bondo,3.81,23.69,70.68,84,100,3.78,CD,1587338869
Saint Paul Harbor,57.79,-152.41,46.4,75,90,12.75,US,1587338785
Sovetskiy,61.36,63.58,31.57,95,18,5.46,RU,1587338869
Usinsk,65.99,57.53,33.19,95,100,9.42,RU,1587338869
Honningsvåg,70.98,25.97,37.4,93,75,19.46,NO,1587338869
Bilma,18.69,12.92,84.18,12,42,5.23,NE,1587338870
Rikitea,-23.12,-134.97,77.07,67,100,5.99,PF,1587338870
Barrow,71.29,-156.79,12.2,85,90,6.93,US,1587338789
New Norfolk,-42.78,147.06,55.99,91,100,7.74,AU,1587338870
Constitución,-35.33,-72.42,57.25,68,74,12.71,CL,1587338871
Newport,51.59,-3.0,48.99,75,37,16.42,GB,1587338871
Kāvali,14.92,79.98,77.14,94,11,6.82,IN,1587338591
Wiang Sa,8.64,99.37,81.0,83,49,2.21,TH,1587338871
Castro,-24.79,-50.01,57.07,70,34,5.88,BR,1587338872
Kavieng,-2.57,150.8,83.79,75,78,7.14,PG,1587338872
Kailua,21.4,-157.74,84.2,51,20,11.41,US,1587338872
Clyde River,70.47,-68.59,1.4,77,1,2.24,CA,1587338625
Diplo,24.47,69.58,76.44,76,100,13.18,PK,1587338872
Tutóia,-2.76,-42.27,80.08,82,75,6.71,BR,1587338873
Lázaro Cárdenas,17.96,-102.2,80.53,71,35,6.82,MX,1587338619
Chui,-33.7,-53.46,64.58,89,23,7.49,UY,1587338873
Hermanus,-34.42,19.23,61.0,95,38,1.01,ZA,1587338874
Padang,-0.95,100.35,78.73,76,17,4.21,ID,1587338856
Trincomalee,8.57,81.23,81.09,80,19,7.27,LK,1587338874
Bambous Virieux,-20.34,57.76,75.2,88,40,11.41,MU,1587338874
Sennar,13.57,33.57,75.94,16,39,9.46,SD,1587338875
Svetlaya,46.54,138.33,41.92,73,100,1.63,RU,1587338875
Lebu,-37.62,-73.65,55.83,74,100,9.84,CL,1587338875
Laas,46.62,10.7,46.4,100,90,2.24,IT,1587338876
Itarema,-2.92,-39.92,77.83,86,18,3.76,BR,1587338780
Kawalu,-7.38,108.21,76.32,76,58,1.03,ID,1587338876
Socorro,31.65,-106.3,78.8,13,5,11.41,US,1587338777
Bani Walid,31.76,13.99,71.06,27,100,10.16,LY,1587338877
Mae Chan,20.15,99.85,77.0,88,68,5.82,TH,1587338877
Shīeli,44.17,66.75,61.9,29,0,9.91,KZ,1587338877
Ust-Nera,64.57,143.2,6.84,77,91,1.95,RU,1587338877
Leningradskiy,69.38,178.42,13.62,92,93,9.06,RU,1587338878
Asău,46.43,26.4,46.4,87,90,8.05,RO,1587338623
Lüderitz,-26.65,15.16,60.8,87,0,8.05,NA,1587338858
Saskylakh,71.92,114.08,17.15,95,2,3.6,RU,1587338879
Balakhninskiy,58.01,114.28,20.66,81,58,2.86,RU,1587338879
Tuktoyaktuk,69.45,-133.04,10.4,85,90,9.17,CA,1587338879
Saint George,37.1,-113.58,71.6,28,1,13.87,US,1587338755
Ponta do Sol,32.67,-17.1,57.99,64,13,4.0,PT,1587338880
Wanning,18.8,110.4,79.56,84,92,10.27,CN,1587338801
Erenhot,43.65,111.98,28.18,52,0,25.03,CN,1587338880
Oranjemund,-28.55,16.43,59.0,94,18,1.23,NA,1587338880
Port Alfred,-33.59,26.89,70.0,78,14,7.36,ZA,1587338880
Saint-Philippe,-21.36,55.77,73.4,73,75,6.93,RE,1587338881
Mataura,-46.19,168.86,54.0,72,72,5.99,NZ,1587338722
Cockburn Town,21.46,-71.14,79.18,82,7,16.49,TC,1587338881
Chumikan,54.72,135.31,23.67,95,100,17.11,RU,1587338881
